classlabel,lowerclass,lowerclasslabel,broader,lowerclassbroaderlabel,upperclasslabel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_open_verharding,open verharding,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_beton_element,beton element,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_open_verharding,open verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_betonstraatstenen,betonstraatstenen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_open_verharding,open verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_gebakken_klinkers,gebakken klinkers,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_open_verharding,open verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_sierbestrating,sierbestrating,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_open_verharding,open verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_tegels,tegels,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_open_verharding,open verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_transitie,transitie,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_zand,zand,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_strand_en_strandwal,strand en strandwal,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_zand,zand,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_zandverstuiving,zandverstuiving,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_zand,zand,
OndersteunendWaterdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeOndersteunendWaterdeel_oever_slootkant,"oever, slootkant",,,OndersteunendWaterdeel
